Date/Time,THERMAL ZONE 1:Zone Air System Sensible Heating Rate [W](Hourly),THERMAL ZONE 1:Zone Air System Sensible Cooling Rate [W](Hourly),THERMAL ZONE 1:Zone Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Air Relative Humidity [%](Hourly) 
 01/01  18:00:00,22.1347275,0,20,25.30938605
 01/01  19:00:00,16.24031579,0,20,25.31871259
 01/01  20:00:00,23.68488208,0,20,24.62045161
 01/01  21:00:00,30.50561199,0,20,23.96079553
 01/01  22:00:00,40.23359166,0,20,23.9402431
 01/01  23:00:00,0,0,19.21471567,27.56022551
 01/01  24:00:00,0,0,18.9434624,32.23587464
 01/02  01:00:00,0,0,18.67633984,34.9229362
 01/02  02:00:00,0,0,18.40981083,34.76456154
 01/02  03:00:00,0,0,18.22152782,33.44496519
 01/02  04:00:00,0,0,17.99250055,31.623743
 01/02  05:00:00,0,0,17.7502279,29.97708744
 01/02  06:00:00,0,0,17.53662576,28.12453734
 01/02  07:00:00,213.5182334,0,20.03678275,22.67382628
 01/02  08:00:00,192.8917508,0,20,22.22561565
 01/02  09:00:00,198.4650012,0,20,22.23054362
 01/02  10:00:00,183.9583139,0,20,22.68626825
 01/02  11:00:00,155.5359155,0,20,23.65303187
 01/02  12:00:00,136.1941296,0,20,24.3038909
 01/02  13:00:00,109.5599045,0,20,24.2082073
 01/02  14:00:00,73.03258408,0,20,24.64541077
 01/02  15:00:00,46.02868809,0,20,25.76839127
 01/02  16:00:00,21.07158589,0,20,27.02226182
 01/02  17:00:00,1.723222337,0,20.02435639,27.48206505
 01/02  18:00:00,0,0,20.1303111,27.07036984
 01/02  19:00:00,0,0,20.03768144,26.67833331
 01/02  20:00:00,0,0,19.70769719,26.71829498
 01/02  21:00:00,0,0,19.32676165,26.46710746
 01/02  22:00:00,0,0,19.04413116,26.13047465
 01/02  23:00:00,0,0,18.77404377,26.19151233
 01/02  24:00:00,0,0,18.46057147,26.88626196
 01/03  01:00:00,0,0,18.19238483,27.55760149
 01/03  02:00:00,0,0,17.97247649,27.94471149
 01/03  03:00:00,0,0,17.7474505,27.87861717
 01/03  04:00:00,0,0,17.49125998,27.83920131
 01/03  05:00:00,0,0,17.23133336,27.70203347
 01/03  06:00:00,0,0,17.0160828,28.46737535
 01/03  07:00:00,0,0,16.788971,28.48065808
 01/03  08:00:00,0,0,16.53848529,27.97823298
 01/03  09:00:00,0,0,16.32256483,28.40652812
 01/03  10:00:00,0,0,16.40324749,29.21332217
 01/03  11:00:00,0,0,16.82398965,29.64622415
 01/03  12:00:00,0,0,17.21918844,29.84377604
 01/03  13:00:00,0,0,17.56717671,30.37414933
 01/03  14:00:00,0,0,17.99116247,30.21921064
 01/03  15:00:00,0,0,18.4746322,28.12387188
 01/03  16:00:00,0,0,18.94105305,26.16076398
 01/03  17:00:00,0,0,19.32525576,25.02653942
 01/03  18:00:00,0,0,19.60249241,24.63639028
 01/03  19:00:00,0,0,19.6590075,24.27297598
 01/03  20:00:00,0,0,19.40758107,24.58669846
 01/03  21:00:00,0,0,19.16626364,25.07707191
 01/03  22:00:00,0,0,19.164653,25.02715403
 01/03  23:00:00,0,0,19.14299241,24.59990038
 01/03  24:00:00,0,0,18.73527473,25.44117352
 01/04  01:00:00,0,0,18.34293356,25.64399337
 01/04  02:00:00,0,0,18.08798604,25.64853864
 01/04  03:00:00,0,0,17.64269558,24.8472084
 01/04  04:00:00,0,0,17.37636115,24.78829692
 01/04  05:00:00,0,0,17.12642241,25.33268369
 01/04  06:00:00,0,0,16.87435265,25.53414648
 01/04  07:00:00,275.6600156,0,20.04294373,21.22363208
 01/04  08:00:00,243.1961592,0,20,21.5189079
 01/04  09:00:00,249.3743985,0,20,22.03368834
 01/04  10:00:00,234.064504,0,20,23.13840146
 01/04  11:00:00,204.2988151,0,20,24.02793769
 01/04  12:00:00,174.1930768,0,20,25.86205539
 01/04  13:00:00,141.4151247,0,20,26.49032888
 01/04  14:00:00,101.8165945,0,20,25.34737087
 01/04  15:00:00,63.07414517,0,20,24.33522635
 01/04  16:00:00,35.02931836,0,20,24.28172807
 01/04  17:00:00,14.41029284,0,20,23.7152032
 01/04  18:00:00,1.344665083,0,20.01780354,25.18597052
 01/04  19:00:00,0,0,20.05146859,30.95619413
 01/04  20:00:00,4.44648372,0,20.00000002,36.64850542
 01/04  21:00:00,14.60026405,0,20,37.9264647
 01/04  22:00:00,23.63494514,0,20,37.28099029
 01/04  23:00:00,0,0,19.48682356,38.8456452
 01/04  24:00:00,0,0,19.28655572,39.95389467
 01/05  01:00:00,0,0,19.155105,42.76523541
 01/05  02:00:00,0,0,18.90709676,47.73805361
 01/05  03:00:00,0,0,18.60720204,54.01686703
 01/05  04:00:00,0,0,18.46512486,59.04254623
 01/05  05:00:00,0,0,18.32878339,62.4210794
 01/05  06:00:00,0,0,18.15422144,63.03140423
 01/05  07:00:00,148.5765287,0,20.02558739,56.79279005
 01/05  08:00:00,126.1265908,0,20,58.2172526
 01/05  09:00:00,130.0271278,0,20,59.47110263
 01/05  10:00:00,134.8363851,0,20,59.67853991
 01/05  11:00:00,130.8099133,0,20,59.95279098
 01/05  12:00:00,117.2816374,0,20,59.40387763
 01/05  13:00:00,98.75820541,0,20,57.14536598
 01/05  14:00:00,76.11740156,0,20,56.14631773
 01/05  15:00:00,61.79150828,0,20,56.92445376
 01/05  16:00:00,54.50126434,0,20,57.43045023
 01/05  17:00:00,43.94523353,0,20,56.51317812
 01/05  18:00:00,41.64447671,0,20,55.11551451
 01/05  19:00:00,50.72653608,0,20,53.89100039
 01/05  20:00:00,63.2234444,0,20,52.22190427
 01/05  21:00:00,75.52623028,0,20,50.64172284
 01/05  22:00:00,88.69431833,0,20,49.08591147
 01/05  23:00:00,0,0,18.52437178,52.73455993
 01/05  24:00:00,0,0,18.11812848,52.89292992
 01/06  01:00:00,0,0,17.88144866,51.91070274
 01/06  02:00:00,0,0,17.67509124,50.42807551
 01/06  03:00:00,0,0,17.44266966,49.66855699
 01/06  04:00:00,0,0,17.22938829,49.57213678
 01/06  05:00:00,0,0,17.04630854,49.76275329
 01/06  06:00:00,0,0,16.87067947,49.90706929
 01/06  07:00:00,277.0680295,0,20.0403898,40.67338678
 01/06  08:00:00,237.5949855,0,20,40.47492374
 01/06  09:00:00,240.2794109,0,20,39.98614864
 01/06  10:00:00,235.8703442,0,20,40.06645826
 01/06  11:00:00,226.9951561,0,20,41.05065019
 01/06  12:00:00,215.2283447,0,20,41.23708388
 01/06  13:00:00,197.383231,0,20,41.79649799
 01/06  14:00:00,171.7768242,0,20,42.93078741
 01/06  15:00:00,146.2737036,0,20,43.43021271
 01/06  16:00:00,122.5385766,0,20,41.73462557
 01/06  17:00:00,100.1975366,0,20,39.67934146
 01/06  18:00:00,81.40864689,0,20,38.96519808
 01/06  19:00:00,78.08516524,0,20,38.67082922
 01/06  20:00:00,86.67680955,0,20,39.16699581
 01/06  21:00:00,98.2490975,0,20,39.98602632
 01/06  22:00:00,111.8354859,0,20,40.44372418
 01/06  23:00:00,0,0,18.26832681,44.66620466
 01/06  24:00:00,0,0,17.79356517,45.37745007
 01/07  01:00:00,0,0,17.52424064,45.4850865
 01/07  02:00:00,0,0,17.2159212,44.83403192
 01/07  03:00:00,0,0,16.88396306,43.36254117
 01/07  04:00:00,0,0,16.60405352,41.89545871
 01/07  05:00:00,0,0,16.35204387,41.26907812
 01/07  06:00:00,0,0,16.09624344,40.74518379
 01/07  07:00:00,361.0360445,0,20.04104521,30.96961698
 01/07  08:00:00,310.3940219,0,20,30.36422114
 01/07  09:00:00,311.2314455,0,20,30.03062795
 01/07  10:00:00,298.3079084,0,20,31.66424715
 01/07  11:00:00,269.6573817,0,20,35.98893258
 01/07  12:00:00,238.9938179,0,20,37.69417852
 01/07  13:00:00,207.076505,0,20,38.13780918
 01/07  14:00:00,168.8767277,0,20,40.21325208
 01/07  15:00:00,128.3846306,0,20,39.56197882
 01/07  16:00:00,93.18624234,0,20,36.04664108
 01/07  17:00:00,62.54867857,0,20,32.27672645
 01/07  18:00:00,38.07087043,0,20,28.59065739
 01/07  19:00:00,34.88514926,0,20,25.31830807
 01/07  20:00:00,49.90902804,0,20,25.51770711
 01/07  21:00:00,65.81760426,0,20,27.98246506
 01/07  22:00:00,80.84039007,0,20,29.33525144
 01/07  23:00:00,0,0,18.7046737,32.94263956
 01/07  24:00:00,0,0,18.30327966,35.97802261
 01/08  01:00:00,0,0,18.01913055,37.17872732
 01/08  02:00:00,0,0,17.71226411,37.47057938
 01/08  03:00:00,0,0,17.46125705,37.21102748
 01/08  04:00:00,0,0,17.17326124,36.56258082
 01/08  05:00:00,0,0,16.94825193,36.37893143
 01/08  06:00:00,0,0,16.76792502,36.9282742
 01/08  07:00:00,289.16295,0,20.03951777,29.53199903
 01/08  08:00:00,253.155433,0,20,28.27241881
 01/08  09:00:00,255.6930179,0,20,27.6873906
 01/08  10:00:00,238.4860986,0,20,28.22000999
 01/08  11:00:00,214.8131117,0,20,29.02536305
 01/08  12:00:00,187.9001331,0,20,30.15795658
 01/08  13:00:00,153.1262332,0,20,30.16031888
 01/08  14:00:00,113.9753363,0,20,26.41400748
 01/08  15:00:00,77.99714111,0,20,23.05505653
 01/08  16:00:00,43.57943736,0,20,20.17918409
 01/08  17:00:00,11.6162758,0,20.00061357,17.4469664
 01/08  18:00:00,0,0,20.16356127,16.08133902
 01/08  19:00:00,0.273018921,0,20.17895789,17.30422377
 01/08  20:00:00,0.950151788,0,20.0078821,19.8749065
 01/08  21:00:00,11.59542965,0,20.00351872,21.55152135
 01/08  22:00:00,39.0996827,0,20,23.53098164
 01/08  23:00:00,0,0,19.08910282,26.23686112
 01/08  24:00:00,0,0,18.67389215,28.07205655
 01/09  01:00:00,0,0,18.37192937,29.14780599
 01/09  02:00:00,0,0,18.13759285,29.71024431
 01/09  03:00:00,0,0,17.97554783,29.62385381
 01/09  04:00:00,0,0,17.77180513,29.79741404
 01/09  05:00:00,0,0,17.50402852,31.3260078
 01/09  06:00:00,0,0,17.32700803,32.44684061
 01/09  07:00:00,233.890206,0,20.03811573,27.59710121
 01/09  08:00:00,204.1547297,0,20,28.42117617
 01/09  09:00:00,206.8866671,0,20,28.71620617
 01/09  10:00:00,201.2506424,0,20,29.18833079
 01/09  11:00:00,182.468605,0,20,29.92327916
 01/09  12:00:00,153.4796122,0,20,28.6692203
 01/09  13:00:00,128.0335464,0,20,25.98447688
 01/09  14:00:00,100.6034963,0,20,24.06181902
 01/09  15:00:00,69.73232549,0,20,24.53993989
 01/09  16:00:00,41.74536861,0,20,30.53996062
 01/09  17:00:00,14.73673259,0,20,37.82194933
 01/09  18:00:00,0.191564441,0,20.08234555,42.82119935
 01/09  19:00:00,0,0,20.16112251,45.12841757
 01/09  20:00:00,0,0,20.01522442,46.60626238
 01/09  21:00:00,0,0,19.87427805,46.71206428
 01/09  22:00:00,0,0,19.6527949,49.74882428
 01/09  23:00:00,0,0,19.39691706,59.04771754
 01/09  24:00:00,0,0,19.15365595,65.90257614
 01/10  01:00:00,0,0,18.89837967,69.69310121
 01/10  02:00:00,0,0,18.63528171,71.62863708
 01/10  03:00:00,0,0,18.36544718,72.36188819
 01/10  04:00:00,0,0,18.08098359,72.48710295
 01/10  05:00:00,0,0,17.78498267,71.84168007
 01/10  06:00:00,0,0,17.49773388,71.07767906
 01/10  07:00:00,0,0,17.24526572,70.67316623
 01/10  08:00:00,0,0,17.02177264,71.44697883
 01/10  09:00:00,0,0,16.80443609,72.76831705
 01/10  10:00:00,0,0,16.58576571,74.22477291
 01/10  11:00:00,0,0,16.39928383,75.09626471
 01/10  12:00:00,0,0,16.42421182,75.13523576
 01/10  13:00:00,0,0,16.70367887,72.24498823
 01/10  14:00:00,0,0,17.09998933,67.26880894
 01/10  15:00:00,0,0,17.5341312,61.3142369
 01/10  16:00:00,0,0,17.96956877,55.13107271
 01/10  17:00:00,0,0,18.43075585,51.98035602
 01/10  18:00:00,0,0,18.7862608,52.58903778
 01/10  19:00:00,0,0,18.97491657,54.17498628
 01/10  20:00:00,0,0,19.00291518,56.53470632
 01/10  21:00:00,0,0,18.85850399,59.15479604
 01/10  22:00:00,0,0,18.61801724,59.85841586
 01/10  23:00:00,0,0,18.38475762,59.63723488
 01/10  24:00:00,0,0,18.10483951,60.63684584
 01/11  01:00:00,0,0,17.84090615,62.31826845
 01/11  02:00:00,0,0,17.55206295,63.31357895
 01/11  03:00:00,0,0,17.191724,63.0894518
 01/11  04:00:00,0,0,16.81608653,61.38303007
 01/11  05:00:00,0,0,16.47868268,60.3529761
 01/11  06:00:00,0,0,16.11744411,58.82703122
 01/11  07:00:00,372.3831462,0,20.04956186,44.54813345
 01/11  08:00:00,330.0342413,0,20,44.41324184
 01/11  09:00:00,340.6311167,0,20,43.56607461
 01/11  10:00:00,329.5142463,0,20,45.02690614
 01/11  11:00:00,303.3223968,0,20,51.6947948
 01/11  12:00:00,272.5683059,0,20,55.69290548
 01/11  13:00:00,228.5147331,0,20,54.63866668
 01/11  14:00:00,177.2077976,0,20,48.97318749
 01/11  15:00:00,128.5102271,0,20,42.2116004
 01/11  16:00:00,87.60090674,0,20,37.9904643
 01/11  17:00:00,51.31638481,0,20,34.94333203
 01/11  18:00:00,25.32617615,0,20,33.99754751
 01/11  19:00:00,15.17102956,0,20,32.90021816
 01/11  20:00:00,23.57507852,0,20,32.41035528
 01/11  21:00:00,40.652752,0,20,33.18743752
 01/11  22:00:00,54.14876489,0,20,33.74420055
 01/11  23:00:00,0,0,19.11436491,36.36927105
 01/11  24:00:00,0,0,18.70683543,37.35817312
 01/12  01:00:00,0,0,18.22510353,37.86330073
 01/12  02:00:00,0,0,17.94932421,38.17185941
 01/12  03:00:00,0,0,17.70511603,38.22988138
 01/12  04:00:00,0,0,17.51300006,37.83810348
 01/12  05:00:00,0,0,17.30880878,37.43734175
 01/12  06:00:00,0,0,17.08001475,37.42457988
 01/12  07:00:00,257.4894433,0,20.03987331,30.58852374
 01/12  08:00:00,217.1258126,0,20,29.66928333
 01/12  09:00:00,215.0252799,0,20,28.4202588
 01/12  10:00:00,201.9178263,0,20,27.74047445
 01/12  11:00:00,176.4126949,0,20,27.82165476
 01/12  12:00:00,146.8695476,0,20,27.52129066
 01/12  13:00:00,109.2727379,0,20,27.84021506
 01/12  14:00:00,68.88787429,0,20,28.05508281
 01/12  15:00:00,31.29447607,0,20,26.56080276
 01/12  16:00:00,2.381257601,0,20.06321759,25.3438979
 01/12  17:00:00,0,0,20.48725138,24.30955963
 01/12  18:00:00,0,0,20.88837452,23.23219071
 01/12  19:00:00,0,0,21.00774618,23.03565558
 01/12  20:00:00,0,0,20.93007865,23.19384119
 01/12  21:00:00,0,0,20.74887094,23.39317549
 01/12  22:00:00,0,0,20.49271108,23.63390544
 01/12  23:00:00,0,0,20.15835481,23.33546665
 01/12  24:00:00,0,0,19.78135232,23.34175964
 01/13  01:00:00,0,0,19.51391126,23.57664671
 01/13  02:00:00,0,0,19.11770717,23.7247399
 01/13  03:00:00,0,0,18.77537692,23.61016807
 01/13  04:00:00,0,0,18.51786468,23.41560969
 01/13  05:00:00,0,0,18.21034889,23.31775298
 01/13  06:00:00,0,0,17.89243078,23.28671496
 01/13  07:00:00,204.9893778,0,20.03642047,20.39707185
 01/13  08:00:00,189.0831993,0,20,20.23347726
 01/13  09:00:00,200.1005028,0,20,19.79142365
 01/13  10:00:00,193.3843242,0,20,19.46660626
 01/13  11:00:00,170.9526834,0,20,19.34603942
 01/13  12:00:00,145.5358666,0,20,19.40033168
 01/13  13:00:00,110.1414132,0,20,19.51009163
 01/13  14:00:00,66.28204683,0,20,19.46586991
 01/13  15:00:00,25.87333377,0,20,18.7256868
 01/13  16:00:00,1.01454935,0,20.10330868,18.08305416
 01/13  17:00:00,0,0,20.52531262,17.68492913
 01/13  18:00:00,0,0,20.91379136,17.63902061
 01/13  19:00:00,0,0,21.00896608,17.89932133
 01/13  20:00:00,0,0,20.7658447,19.72508043
 01/13  21:00:00,0,0,20.53424295,21.36048859
 01/13  22:00:00,0,0,20.4278528,21.54622486
 01/13  23:00:00,0,0,20.24502173,21.40399194
 01/13  24:00:00,0,0,19.95484534,21.48401784
 01/14  01:00:00,0,0,19.64969636,21.61139897
 01/14  02:00:00,0,0,19.21955081,22.539755
 01/14  03:00:00,0,0,18.77128156,23.8233975
 01/14  04:00:00,0,0,18.49300259,24.93269399
 01/14  05:00:00,0,0,18.14331793,25.70167
 01/14  06:00:00,0,0,17.75086582,27.14649657
 01/14  07:00:00,210.7367136,0,20.03874702,23.91025056
 01/14  08:00:00,198.3415136,0,20,23.85680094
 01/14  09:00:00,216.4848079,0,20,23.72116828
 01/14  10:00:00,222.4575213,0,20,24.62930895
 01/14  11:00:00,210.4228584,0,20,24.98508158
 01/14  12:00:00,192.6001404,0,20,25.31946987
 01/14  13:00:00,171.3014757,0,20,25.22176162
 01/14  14:00:00,143.6138955,0,20,24.21216281
 01/14  15:00:00,110.65091,0,20,24.41119377
 01/14  16:00:00,79.58476839,0,20,24.36476881
 01/14  17:00:00,53.96760411,0,20,22.69400708
 01/14  18:00:00,38.26948702,0,20,22.50083401
 01/14  19:00:00,39.47661018,0,20,25.21630456
